Maker QoQ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     
YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),0,0,1,0,1,1,0,1,10,1,0,0,15
YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),0,0,1,0,0,27,8,7,0,6,12,11,72
YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),1,0,2,1,0,3,4,7,0,0,1,0,19
YUVRAJ INTERNATIONAL,0,0,0,0,0,0,0,0,0,1,2,2,5
ZAP (HK) (IMPORTER: IZANAU ELECTRIC),8,6,3,5,9,7,10,3,7,5,5,1,69
ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),1,2,2,1,0,1,0,0,1,0,0,0,8
ZELIO AUTO PVT LTD,0,0,0,0,0,0,0,1,0,6,14,24,45
ZENIAK INNOVATION INDIA LTD,251,289,252,271,291,418,828,669,838,752,672,"1,013","6,544"
ZENMO PRIVATE LIMITED,0,0,0,63,191,100,90,52,101,160,7,238,"1,002"
ZENTHIUM EV PVT LTD,103,110,115,67,60,71,85,71,85,109,148,132,"1,156"
ZEOPLUS AXIS INDIA PVT. LTD.,444,394,478,418,545,540,676,667,657,660,627,621,"6,727"
ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,3,12,9,2,17,8,4,6,4,7,7,0,79
ZESAR MOTORS PVT LTD,7,0,1,1,4,6,0,5,32,17,3,2,78
ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),3,2,5,6,0,0,4,2,4,2,3,0,31
ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),17,15,8,17,7,11,16,7,5,11,12,9,135
ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),0,3,1,2,0,2,1,1,1,2,1,2,16
ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),1,1,2,2,4,2,7,6,3,2,8,0,38
ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),12,16,21,16,19,19,18,19,24,38,20,18,240
ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),3,0,2,0,1,0,0,0,1,0,0,0,7
ZHONGHUALONG (IMPORTER: POWORO PVT LTD),0,0,0,11,11,18,12,9,20,13,14,16,124
ZHONGXING (IMPORTER:GREENO AUTOMOBILE),1,2,2,0,0,0,0,1,2,1,0,0,9
ZOHAN TRADERS AND BIG METRO,9,6,15,11,6,5,18,15,29,31,16,22,183
ZOOMLION INDIA PVT LTD,10,16,16,14,12,16,19,6,8,17,16,13,163
ZUBEDA TROLLY REPAIRING WORKS,0,2,0,2,15,10,4,1,1,1,0,0,36
