Maker QoQ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     
WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),1,0,0,1,0,1,1,0,0,0,1,3,8
WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),25,22,19,13,7,10,12,8,5,2,7,3,133
WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),2,0,1,0,0,0,0,0,0,0,0,0,3
WUXI SAIGE (IMPORTER: DM GREEN ENERGY),1,4,3,1,3,9,3,3,1,3,6,1,38
WUXI SAIGE (IMPORTER: ELECTRO-TECH),1,7,1,0,0,0,0,0,0,0,0,0,9
WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),1,0,1,1,1,0,0,0,0,0,0,0,4
WUXI SAIGE (IMPORTER: KKL HITECH EV),0,0,0,0,0,0,0,0,0,0,1,2,3
WUXI SAIGE (IMPORTER: NGAGE IMPEX),0,0,2,4,1,1,3,0,0,4,0,1,16
WUXI SAIGE (IMPORTER: WARIVO MOTOR),270,0,0,0,0,4,7,17,10,5,5,14,332
WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),3,2,4,2,4,3,4,1,1,1,0,1,26
WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),3,7,5,13,8,4,5,6,9,7,3,4,74
WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),0,0,0,0,1,47,0,0,2,2,0,0,52
WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),1,3,1,0,1,0,0,0,0,0,0,0,6
WUXI TENGHUI (IMPORTER: CAL-ON INDUSTRIES),0,4,2,1,4,0,0,1,1,4,3,5,25
WUXI TENGHUI (IMPORTER: FEZORA INDIA),3,6,1,0,0,4,2,3,1,1,0,0,21
WUXI TENGHUI (IMPORTER: FLYCON MOTORS),32,24,21,28,21,15,15,6,6,13,17,13,211
WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),0,3,0,1,1,3,2,1,8,7,3,2,31
WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),26,31,25,39,11,24,12,6,4,4,9,7,198
WUXI TENGHUI (IMPORTER: JAIDKA POWER),1,0,0,0,0,0,0,0,5,0,20,0,26
WUXI TENGHUI (IMPORTER: JOZHI SERVICES),0,3,4,4,9,6,8,16,8,25,40,9,132
WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),0,0,4,0,2,1,0,0,0,0,1,2,10
WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),0,2,0,2,0,0,0,1,0,1,0,0,6
WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),25,18,20,34,18,30,21,11,15,18,26,18,254
WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),4,3,2,3,3,1,2,0,0,1,0,1,20
WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),4,4,0,3,1,0,0,0,0,1,0,0,13
WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),23,12,16,15,14,8,12,8,3,104,2,122,339
WUXI YIZHILING (IMPORTER: HOMFEEL VEGH),0,0,0,0,0,0,0,0,0,0,0,40,40
XCMG CONSTRUCTION MACHINERY CO. LTD.,0,0,1,0,0,3,0,3,6,0,0,0,13
XIDAA MOTO PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0,1
"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",18,24,24,12,28,13,20,20,15,8,6,19,207
XUZHOU CONSTRUCTION MACHINERY MANUFACTURING (IND),0,0,0,0,0,0,0,0,4,11,9,10,34
XYZ1,51,65,14,13,13,6,4,11,121,28,14,18,358
XYZ2,11,16,4,1,0,0,1,2,14,3,1,0,53
YAARI AUTOMOBILES PVT LTD,8,11,10,4,24,6,15,11,15,9,7,68,188
YADEA TECHNOLOGY (IMPORTER: YULU BIKES),0,0,0,0,0,0,0,0,0,0,0,11,11
YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,1,0,1,0,0,4,3,0,0,1,0,10
YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),1,0,0,0,0,0,0,0,0,0,0,0,1
YANGGUANG LINGMU (IMPORTER: ECOINDIA),0,0,0,0,1,0,0,0,0,0,0,0,1
YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),31,12,12,17,9,7,7,6,1,2,9,6,119
YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),4,1,3,1,1,1,2,0,0,0,0,0,13
YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),2,2,5,0,2,2,0,0,0,0,0,0,13
YASH AGRO ENGINEERING WORKS,0,0,0,0,1,2,1,1,0,0,4,0,9
YC ELECTRIC VEHICLE,"3,375","3,356","3,319","2,939","3,779","3,355","3,856","3,793","3,827","4,601","3,977","3,800","43,977"
YESH TRAILER,0,0,0,0,0,0,0,0,0,0,0,1,1
YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),30,17,20,7,12,13,10,18,12,4,10,25,178
YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),39,48,66,15,25,19,17,18,3,10,5,1,266
YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),3,10,5,1,1,1,2,0,0,3,0,0,26
YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),14,7,11,11,10,7,6,1,5,4,1,0,77
YOUYAKU ELECTRIC (IMPORTER:ONZO EV),3,2,11,7,2,10,2,1,1,0,1,6,46
YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),34,21,12,11,6,11,3,6,5,11,5,2,127
