Maker YoY,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,     TOTAL     
KALIKA AGRICULTURE EQPTS KITTU,0,0,1,6,14,0,0,8,15,6,29
KALIKA VAHAN PVT LTD,1,122,136,149,50,39,55,56,0,0,150
"KALINGA AGRO INDUSTRIES ,PIPILI,PURI.",0,10,6,0,0,13,35,0,0,0,48
KALINGA AUTO ENGG,836,"1,096",883,588,476,0,2,4,35,107,148
KALINGA VENTURES INDIA PVT LTD,2,8,29,25,24,96,257,154,21,0,528
KALINGA VENTURES IND P,0,1,8,3,6,1,9,12,28,0,50
KALLESHWARA INDUSTRIES,1,1,6,4,48,0,0,0,4,2,6
KALMER INDUSTRIES,"1,624","3,074","3,636","2,247",791,0,0,1,1,7,9
KALMESHWAR KRISHI INDUSTRIES,0,0,0,3,14,0,0,5,23,18,46
KALPASHRI AGRO TRAILERS,1,0,0,0,1,0,0,2,4,21,27
KALPATARU AGROTECH,0,0,1,2,0,0,0,43,72,100,215
KALPESH TRACTOR TRAILER,1,0,0,0,0,0,0,0,1,0,1
KALPNA WELDING WORKS,0,1,0,0,0,0,0,0,7,15,22
KALPVRIKSH ELECTOMOBILES CO,10,0,0,0,0,70,74,1,0,0,145
KALSI AGRICULTURAL WORKS,0,1,0,0,1,0,0,0,1,3,4
KALSI ENGINEERING WORKS,1,0,0,0,0,0,0,0,1,0,1
KALYANI AGRO IMPLIMENTS,2,0,0,1,0,0,2,0,0,0,2
KALYANI STEEL WORKS,7,0,0,0,0,0,0,0,0,1,1
KALYAN MOTORS COMP LTD,6,0,0,0,0,0,0,1,6,50,57
KAMALA ENGINEERING WORKS,6,0,0,0,0,0,1,47,93,98,239
KAMAL AGRO INDUSTRIES,0,0,0,2,0,14,9,16,0,5,44
KAMATSU LTD,5,0,0,0,0,0,0,0,1,0,1
KAMAZ INDUSTRIES,5,0,0,0,0,30,5,6,0,0,41
KAMAZ VECTRA MOTORS LTD.,10,1,0,0,0,0,0,12,11,12,35
KAMBALI AGRO ENGINEERING INDUSTRIES,1,0,0,0,0,0,0,3,6,4,13
KAMBAR BROS ENGINEERING WORKS,8,0,0,0,0,0,0,0,3,1,4
KAMDHENU STEEL AND FABRICATION,11,0,0,0,0,0,0,0,0,1,1
KAMLESH ENGG WORK SHOP,102,39,0,0,0,0,0,11,85,83,179
KAMPLI GENERAL ENGG WORKS,10,0,0,0,0,0,0,18,41,32,91
KANAIYA AGRO ENTERPRISE,11,0,0,0,0,0,0,0,5,23,28
KANAIYA AGRO INDUSTRIES,2,0,0,0,0,0,0,0,0,11,11
KANAIYA ENGINEERING WORKS,3,0,0,0,0,0,0,0,1,1,2
KANAKADUGRA ENGINEERING,0,0,0,5,6,30,0,0,1,0,31
KANAK PRODUCTS,6,0,0,0,0,0,0,0,12,73,85
KANCHNA MOTORS(P)LTD,4,0,0,0,0,0,0,1,2,7,10
KANDA MOTORS PVT LTD,3,0,0,0,0,0,0,0,1,3,4
K AND G ENGINEERING WORKS,7,1,0,0,0,0,0,0,0,1,1
KANHA ELECTRIC VEHICLES,6,1,0,0,0,0,0,1,0,0,1
KANHAIYA INDUSTRIES,4,0,0,0,0,0,0,8,9,18,35
KANIFA AUTOMOTIVE PVT LTD,8,0,0,0,0,78,2,0,0,0,80
KANKARIA AND COMPANY          ,0,2,8,0,2,0,0,0,0,2,2
KANTI AUTOMOBILES LTD.,3,0,0,0,0,0,0,0,0,4,4
KAPL,0,18,56,54,36,0,0,0,3,48,51
KAPTECH INDIA PVT LTD,23,39,23,47,54,357,657,205,0,0,"1,219"
KARAN AGRO INDUSTRIES,2,0,0,0,0,0,0,0,0,2,2
KARANATAKA ENGINEERING WORKS,0,0,0,0,6,0,0,33,44,86,163
KARANTI AUTOMOBILES LTD,6,0,0,0,0,0,0,0,2,2,4
KARMA MECHANICAL WORKS,3,0,0,0,0,1,1,2,6,11,21
KARMOKAR ENGINEERING WORKS,0,3,8,15,25,0,0,0,43,51,94
KARNATAKA AGRO INDUSTRIES,4,0,0,0,0,0,0,63,54,105,222
KARNATAKA SCOOTERS LTD,11,0,0,0,0,0,0,0,19,0,19
KARNAVATI AUTO LTD,1,0,0,0,0,0,0,1,2,4,7
KARTAR AGRO ENGINEERS PVT LTD,6,100,8,11,0,3,10,18,3,2,36
KARTAR AGRO INDUSTRIES PVT LTD,0,2,1,4,6,"1,055",915,516,440,445,"3,371"
KARTIK ENTERPRISES,1,0,0,0,0,0,0,0,2,0,2
KARUMALAIAN AGRO INDUSTRY     ,0,0,0,1,1,0,0,8,17,18,43
KARUPPIAH LATH DESHIN WORKS,0,0,0,10,10,0,0,0,0,2,2
KASHIM ALI STEEL WORKS,61,95,71,31,37,0,0,40,48,93,181
KASIM ALI STEEL ENTERPRISES,0,0,0,1,0,0,0,11,9,12,32
KASSA RAMA COMBINES PVT LTD,16,7,0,1,0,0,0,0,1,1,2
KATARIYA MOTORS PVT LTD,2,69,172,34,0,0,0,0,4,1,5
K AUTOMOBILES P LTD,"1,850","4,447","4,925","1,723",288,0,0,0,0,1,1
KAVA MECHANICAL WORKS,0,0,0,0,15,0,0,0,0,5,5
KAVA WORK LTD.,2,0,5,8,1,0,0,0,9,11,20
KAVERI TRAILERS.,0,0,0,12,5,0,0,65,46,1,112
KAWASAKI HEAVY INDUSTRIES LTD,0,1,2,1,2,10,144,399,371,439,"1,363"
KAWERI ENGINEERING WORKS,1,1,0,0,0,0,0,0,0,9,9
KAW  KABUL AGRI.WORKS DAHOD,250,698,"1,050",294,95,0,0,0,0,1,1
KAYAMEL MACHINE PRIVATE LTD,6,5,6,9,17,0,0,0,3,5,8
KC ENGG. WORKS (REGD),314,380,5,4,9,0,0,0,3,0,3
K D AGRO INDUSTRIES,0,0,3,0,0,23,11,6,2,2,44
K.D AGRO INDUSTRIES,0,1,0,0,0,4,2,2,6,5,19
KEDAR AGRICULTURE WORKS,3,16,4,0,0,0,0,1,3,2,6
K E LTD,0,0,0,1,0,0,0,0,0,1,1
KELVINATOR INDIA LTD          ,9,24,22,20,11,0,0,2,3,2,7
KENCAN KENWORTH CANADA,0,0,2,0,4,0,0,0,0,1,1
K ENGINEERING WORKS,8,0,0,0,0,0,0,1,1,0,2
"KENWORTH TRUCKS,INC.",6,1,0,0,14,0,0,1,0,0,1
KERALA AGRO MACHINERY CORP. LTD.,0,2,2,1,7,0,4,21,6,11,42
KERALA AGRO MACHINERY CORPORATION LTD,2,0,0,0,0,0,1,6,5,15,27
KERALA AUTOMOBILES LIMITED,0,1,0,0,0,95,137,100,14,43,389
KERALA AUTOMOBILES LTD,4,0,0,0,0,0,0,4,223,545,772
KESAR ROAD EQUIPMENTS(I) PVT LTD,21,0,0,0,0,1,0,0,0,0,1
KGN,0,9,5,0,1,76,43,0,0,1,120
K G N AGRO INDUSTERIES,33,34,40,24,13,0,0,1,0,0,1
K G N ENG WORKS,0,0,0,4,0,0,0,4,58,191,253
KGN INDUSTRIES,0,0,0,0,2,60,187,57,11,60,375
K.G.N.STEEL INDUSTRIES,13,13,7,28,96,0,0,19,34,32,85
"KHAGANATH AUTO ENG,BERHAMPUR",798,637,667,542,354,0,1,5,9,6,21
"KHAGESWAR AUTO E.WS,BERHAMPUR",0,0,0,0,1,2,9,21,48,98,178
KHALEEL ENGINEERING WORKS,9,23,42,8,0,0,0,0,1,0,1
KHALSA  AGRO INDUSTRIES,0,0,1,0,1,21,0,11,430,2,464
KHALSAE-VEHICLES PVT LTD,0,0,2,0,0,607,"1,233","1,299",129,0,"3,268"
KHAN ENGINEERING WORKS,22,25,0,0,0,0,13,75,2,4,94
KHAN WELDING WORKS,65,111,45,0,0,0,0,7,11,13,31
KHEDUT AGRO FABS,595,971,"1,253","1,331",603,0,0,0,17,66,83
KHEDUT TRO WO,31,0,0,0,0,0,0,0,1,16,17
KHEMRAJ AUTOMOTIVE INDUSTRIES,592,173,0,0,0,13,46,178,352,48,637
KHODAL AGRO,15,35,38,40,53,0,0,0,0,2,2
KHODIYAR AGRO INDUSTRIES,1,0,0,0,0,0,0,0,4,66,70
KHODIYAR ENG WORKS,0,0,7,21,179,0,0,0,4,0,4
KHODIYAR INDU.NAROL,1,0,4,4,9,0,0,0,0,1,1
KHODIYAR TRADERS,52,64,77,68,73,0,3,0,2,5,10
KHUSBU AGR.WORK,21,35,31,0,0,0,0,1,0,1,2
KHUSHI AGRO ENGINEERING,8,7,7,1,5,17,2,0,0,0,19
KIA INDIA PRIVATE LIMITED,0,0,3,2,7,"1,19,505","33,996",1,0,1,"1,53,503"
KIA MOTORS CORPN,132,283,234,144,171,88,27,4,4,8,131
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,1,6,33,27,669,"1,464","1,377",384,12,"3,906"
KINETIC GREEN ENERGY P SOL LTD,2,3,12,21,40,40,44,78,880,"2,240","3,282"
KINETIC HONDA MOTOR LIMITED,4,5,18,"1,321","2,149",0,0,0,0,4,4
KINETIC MOTOR COMPANY LIMITED,0,0,8,3,0,3,4,19,708,299,"1,033"
KION BAOLI (JIANGSU) FORKLIFT CO.LTD,0,4,10,13,8,8,18,5,0,0,31
KION INDIA PVT LTD,6,0,0,0,0,466,703,722,331,228,"2,450"
KIRAN AGRO EQUIPMENTS,146,426,259,"1,044",714,3,2,0,0,2,7
KIRAN INDUSTRIES,3,16,21,42,13,0,0,8,49,95,152
KIRIT ENGINEERING WORKS,0,0,0,2,7,0,1,0,1,0,2
KIRLOSKAR OIL ENGINES LIMITED,3,0,0,0,0,0,2,0,0,0,2
KIRLOSKAR PNEUMATIC CO LTD,35,78,75,85,177,0,1,83,0,1,85
KIROL GHATGE PATIL AUTO,1,0,0,0,0,0,0,0,1,8,9
KIRTI AGRO INDUSTRIES,0,0,5,9,12,0,0,0,0,2,2
KIRTI SOLAR LTD,1,0,0,0,0,304,266,287,44,9,910
KISAN AGRO INDUSTRIES,1,0,0,1,2,0,1,5,10,82,98
KISAN ENGINEERING,52,36,0,0,0,42,0,0,5,8,55
KISAN ENGINEERING WORKS,0,5,0,0,0,468,309,660,207,173,"1,817"
KISAN ENTERPRISES,0,0,0,0,16,0,0,0,5,1,6
KISAN SALES AGENCY,0,0,0,0,1,0,0,0,0,12,12
KISAN TRAILER,168,14,40,8,7,0,0,0,1,8,9
KISAN TROLLY WORKS,162,357,326,289,265,0,0,0,21,128,149
KISHAN AGRICULTURAL WORKS,0,0,19,19,1,0,0,0,0,7,7
KISHAN AGRO INDUSTRIES,0,0,0,12,1,0,0,0,36,168,204
KISHAN ENGG WORKS,119,0,0,0,0,0,0,0,0,1,1
KISHAN EQUIPMENTS,1,0,1,2,8,4,16,254,33,1,308
KISHAN INDUSTRIES,0,1,0,0,0,0,0,1,56,154,211
"KISHAN MOTORS, BHUBANESWAR",4,0,0,0,0,0,2,3,3,17,25
KISHAN TRACTOR TRAILOR,45,143,191,208,0,0,0,0,1,3,4
KISHAN TRAILER,9,46,0,0,0,0,0,0,0,3,3
KISMAT AUTO IND,65,218,439,569,290,0,0,0,9,26,35
KISSNA ENGG WORKS,0,0,0,67,118,17,19,244,30,77,387
KK AGRO WORKS LTD,7,9,22,77,43,0,0,0,0,1,1
K K AUTO P LTD.,3,28,164,167,12,0,0,0,0,1,1
