Maker YoY,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,     TOTAL     
K K ENGINEERING WORKS,"13,105","26,227","27,829","32,118","35,147",0,0,8,18,18,44
KK INDUSTRIES,170,174,129,117,103,5,5,13,0,3,26
KLB KOMAKI PVT LTD,0,0,0,0,19,47,81,77,0,0,205
K M MOTORS,0,1,0,0,4,0,1,0,0,0,1
KMS BUS MANUFACTURERS PVT LTD,"2,284","3,886","2,650","1,563",760,0,2,0,0,0,2
KN FARM EQUIPMENT PVT LTD,0,0,0,1,14,0,1,0,1,0,2
KNIGHT QUEEN INDUSTRIES PV LTD,15,16,28,30,45,0,0,0,1,15,16
KNIGHT QUEEN INDUSTRIES PVT LTD,77,282,473,335,0,0,0,4,10,3,17
KOBELCO LTD.,"1,683",634,50,0,0,0,9,7,3,5,24
KOBE STEEL JAPAN,23,4,2,0,0,0,1,1,0,2,4
KOHINOOR ENGGINEERING WORKS,"1,288","1,534",210,313,81,0,0,21,22,38,81
KOKILA ENGINEERING,10,56,157,160,170,0,0,0,0,2,2
KOLKATA RIDERS,0,0,0,7,1,0,0,0,1,0,1
KOMATSU INDIA PRIVATE LIMITED,0,0,0,0,1,12,101,47,62,44,266
KOMATSU LTD JAPAN,"1,295","6,104","15,827","8,914",0,41,57,40,15,0,153
KONE CRANE SWEDEN,92,9,0,0,0,1,0,1,1,2,5
KOPPAL AGRO ENGINEERING WORKS,"1,558","4,855","31,618","1,03,621","30,659",0,0,1,3,7,11
KOTKAR ENERGY  DYNAMICS PVT LTD,33,152,126,63,6,1,0,48,2,244,295
K P INDUSTRIES,"1,37,380","4,07,694","2,67,386","1,09,403",240,0,0,0,0,5,5
K P STEEL INDUSTRIES,504,679,339,518,155,0,0,0,0,38,38
KPT INDUSTRIES LTD,0,0,0,0,10,3,3,14,0,0,20
KRANTI AUTOMOBILES LIMITED,0,0,0,0,1,3,16,70,563,"1,551","2,203"
KRANTI AUTOMOBILES LTD,911,"2,220","3,302","2,930","1,449",255,471,492,418,183,"1,819"
KRANTI INTERNATIONAL,0,0,10,19,25,0,6,10,2,11,29
KRAZ USSR RUSSIA,6,10,13,19,9,0,1,1,0,1,3
KRISHI ENGINEERING WORKS,105,266,283,102,12,11,5,16,26,39,97
KRISHI IMPL AND ENG WORKS,"4,164","7,058","3,681","2,931",349,0,0,0,0,3,3
KRISHI LAXMI AGRO INDUSTRIES,"1,510","1,574",44,0,0,0,0,18,10,23,51
KRISHI SEVA FABRICATORS,0,0,0,1,4,0,0,0,0,9,9
KRISHNA AGRO ENGI,1,14,67,172,0,42,55,68,5,4,174
KRISHNA AGRO INDUSTRIES,0,0,0,9,1,0,0,1,0,72,73
KRISHNA ENGINEERING,0,3,0,0,0,0,0,0,6,5,11
KRISHNA ENGINEERING WORKS,0,0,0,15,7,227,447,435,170,10,"1,289"
KRISHNA INDUSTRIES,248,807,"1,203","1,167",795,57,43,7,50,114,271
KRISHNA MECHANICAL WORKS,1,14,30,103,14,0,0,0,2,6,8
KRISHNA VEHICALS,0,0,0,5,8,40,128,126,2,0,296
"KRISHNAVENI A.W,SRKKLM",5,3,0,0,0,0,0,0,1,5,6
KRISHNAYEE TRAILER,0,2,4,7,8,0,0,3,0,11,14
KRUNAL TRAILER,25,71,126,120,144,0,0,0,1,2,3
KRUPALA TRAILER LIMITED,0,0,0,0,1,0,0,0,1,1,2
KRUP P,"3,142","11,459","23,924","2,37,261","4,30,189",8,4,4,5,2,23
KRUPPA  PVT LTD,94,24,0,0,0,0,0,9,18,18,45
KRUSHHI VISHWAS AGRO INDUSTRIES,61,103,351,93,0,0,0,1,1,0,2
KRUSHI KISAN TRAILORS,0,0,11,23,21,11,9,5,1,1,27
KRUSHIRAJ ENGINEERING WORKS,0,16,41,46,66,0,0,1,0,17,18
KRUSHNA AGRO ENGINEERING WORKS,0,0,0,0,1,4,3,4,35,13,59
K S AGRICULTURAL  INDUSTRIES,1,0,0,0,1,29,56,23,57,82,247
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,14,0,0,0,0,94,101,164,41,1,401
K.S. AGROTECH  PVT LTD,18,0,0,3,1,102,140,39,2,1,284
KS AGROTECH PVT LTD,0,0,0,0,1,2,5,3,2,2,14
K.S.ENGINEERING WORKS,0,0,3,6,11,0,0,3,10,7,20
K T ENTERPRISES,101,65,96,47,28,57,143,52,0,0,252
KTM MOTORRAD AG,0,2,0,0,0,64,40,58,490,"1,904","2,556"
K.T.R. TERDING,0,0,0,1,1,1,0,0,0,0,1
KUBER ENG.WORKS LTD,0,0,0,0,47,0,0,0,0,1,1
KUBER INDUSTRIES,7,25,77,66,33,0,0,0,1,6,7
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,3,4,2,"12,262","9,315","7,191","5,453","4,158","38,379"
KUDRAT AGRO,0,0,2,0,0,0,0,0,3,0,3
KUKU AUTOMOTIVES,25,6,0,0,0,212,401,356,422,190,"1,581"
KULAR AGRO WORKS,0,14,37,54,39,14,72,3,12,16,117
KULDEEP ENGINEERING WORKS,10,0,0,0,0,0,0,0,0,1,1
KULDEVI AGRO INDUSTRIES,4,0,0,0,0,0,0,0,0,10,10
KULUNDAN GENERAL ENGINEERING,704,"2,524","3,248","1,146",332,0,0,1,0,0,1
KUMAR ENGINEERING,12,16,23,20,32,377,44,145,72,96,734
KUMAR MOTORS PVT LTD,296,436,572,484,160,0,0,13,71,141,225
KUM KUM AGRICULTURE,626,988,904,706,301,0,0,0,0,29,29
"KUNAL ENGINEERING WORKS,",0,3,0,0,0,0,0,0,0,1,1
KUN MOTORCYCLES PRIVATE LTD,1,28,65,1,181,0,0,1,0,1,2
KURUKSHETRA AUTOMOBILES (P) LTD.,0,0,0,0,1,8,43,344,783,"1,610","2,788"
KUSHAL AGRO IND,0,0,0,1,3,0,0,0,1,0,1
K. V. INDUSTRIES,17,3,0,0,0,19,26,0,0,0,45
KYNTIEWLANG STEEL,6,8,0,0,0,0,0,0,0,2,2
LAHORI AGRO INDUSTRIES,1,6,2,8,6,0,0,0,0,1,1
LAISH MADISON MOTOR WORKS PVT LTD,0,0,0,1,1,1,37,1,0,0,39
LAKSHMI AGRO INDUSTRIES,0,7,21,24,28,0,0,3,6,9,18
LAKSHMI AUTO TRADERS,10,16,20,3,0,0,2,0,0,1,3
LAKSHMISHA INDUSTRIES,1,7,7,5,0,0,0,5,12,15,32
LAKSHYA AUTO SALES CORPORATION,0,0,0,3,9,21,25,0,0,0,46
LAKSHYA MOTORS,0,0,3,3,4,0,14,0,0,0,14
LAL AGRO INDUSTRIES,"3,436","6,667","8,969","3,593",423,4,2,0,1,3,10
LAL CHAND AGRICULTURE WORKS,1,1,0,0,5,1,0,0,3,0,4
LALGURU FARM HOUSE,0,0,0,1,0,0,0,0,0,2,2
LAMBORGHINI,"68,050","1,28,645","1,26,919","1,09,605","1,05,741",10,46,28,12,21,117
LAMBRETTA MOTORCYCLES AND SCOOTERS,1,0,0,1,0,0,0,0,0,2,2
LANSON MOTORS PVT LTD,30,54,0,0,0,0,0,0,2,59,61
LARSEN AND TOUBRO LIMITED,0,0,1,0,1,0,0,13,15,23,51
LATHANGI CYCLE AND CARRIAGE PVT. LTD.,231,157,29,0,0,0,0,0,0,1,1
LAUNCHER MATERIAL HANDLING INDUSTRIES,0,0,0,2,0,0,2,2,0,0,4
LAWAT MOTORS,530,926,18,34,207,1,1,0,60,0,62
LAWAT MOTORS LLP,8,57,109,87,19,153,303,143,0,0,599
LAXMI AGRO EN,624,534,289,701,243,0,0,0,0,1,1
LAXMI ENG CO,0,2,2,2,5,0,0,0,2,11,13
LAXMI ENGINEERING WORKS,42,118,103,140,27,71,52,57,30,215,425
LAXMI ENGINEERING WORKSHOP,10,2,4,0,0,0,0,0,0,1,1
LAXMI E-RICKSHAW COMPANY,0,0,0,1,2,11,35,16,0,0,62
"LAXMI GOBINDA AGRO IND,BLS",113,379,65,1,2,83,107,105,117,122,534
LAXMI INDUSTRIES,13,106,214,23,0,0,0,2,0,3,5
LAXMI RANGANATHA TRAILERS,0,0,0,3,2,0,0,7,9,9,25
LAXMI STEEL INDUSTRIES,468,869,797,665,388,0,0,6,10,35,51
LAXMI STEEL WORKS PVT.LTD.,11,6,0,0,0,0,0,2,9,154,165
LAXMI TRAILERS,11,19,0,0,2,0,0,0,0,2,2
LAXMI WELDING WORKS,3,0,0,0,0,0,0,0,0,10,10
L B AGRO PRODUCTS,26,70,101,40,30,0,1,0,0,0,1
LEAN DRIVES,128,21,8,6,0,0,0,0,9,7,16
LECTRIX E VEHICLES PVT LTD,1,0,0,0,3,7,0,0,0,0,7
LEEBOY INDIA,0,2,1,1,4,18,25,40,30,24,137
LEEBOY INDIA CONSTRUCTION EQUIPMENT PVT.LTD.,4,26,22,27,33,0,2,10,35,33,80
LEELA TRAILER  FABRICATION,12,2,0,0,0,0,0,0,0,4,4
LEXUS MOTORS LTD,133,153,206,47,2,0,2,6,0,2,10
LIBERTY AGRO SERVICE,67,151,33,0,0,0,0,0,0,2,2
LIEBHERR,115,165,13,0,0,40,51,56,49,46,242
LIEBHERR INDIA PVT LTD,5,2,0,0,0,25,40,14,3,6,88
LI-IONS ELEKTRIK SOLUTIONS PVT LTD,10,82,65,46,50,40,0,0,0,0,40
LINKBELT CONST EQUIPMENT CO.,0,0,0,12,29,0,0,0,1,0,1
LINNHOFF INDIA PVT. LTD.,9,19,24,38,50,0,0,0,0,1,1
LIUGONG INDIA PVT. LTD,1,1,0,0,0,472,515,391,134,39,"1,551"
LIUGONG IND PVT LTD,1,0,0,0,0,15,30,111,181,159,496
LML LIMITED,0,0,2,1,0,12,53,220,"1,485","1,428","3,198"
LMP TRCTOR PVT LTD,0,2,4,9,16,0,1,1,0,0,2
LMV LTD,3,2,0,0,0,0,0,7,19,28,54
LOCAL TRAILER MANUFACTURER,0,3,0,0,0,166,144,431,347,695,"1,783"
LOHAN AGRICULTURE  FABRICATION,0,0,0,0,1,0,0,23,0,13,36
LOHARDAGA AUTOMOTIVE,0,0,0,1,1,0,0,0,2,24,26
LOHIA AUTO INDUSTRIES,0,0,3,78,258,576,"1,024",995,307,146,"3,048"
LOHIA AUTO INDUSTRIES LTD.,905,692,786,568,752,189,482,"1,035","2,514","1,646","5,866"
LOHIA MACHINERY LIMITED,113,57,0,0,0,0,0,0,1,0,1
LOKOMO,"1,141","1,795","2,850","3,983","4,843",0,0,1,0,0,1
LORAIN,0,0,5,228,310,0,0,0,1,1,2
LORDS VEHICLE MFG PVT LTD,2,12,6,0,21,3,0,0,0,0,3
LOTEY AGRICULTURE WORKS,111,321,500,322,16,22,15,6,0,0,43
LOTEY AGRO INDUSTRY,17,13,17,21,32,4,0,4,32,453,493
LOTEY INDUSTRY,0,0,0,1,0,9,15,8,0,0,32
LOTIA MOTORS LIMITED,190,131,40,0,0,0,3,72,1,1,77
LOTIA  MOTORS  LTD,56,0,0,0,0,0,0,2,20,22,44
LOVATE LOVATEK,63,31,7,1,0,0,0,0,0,2,2
LOVEJEET AGRO INDUSTRY,95,0,0,0,0,46,39,2,2,1,90
LOVELY AGRO INDUSTRIES,2,35,16,125,462,0,0,80,82,61,223
L & T CASE EQUIPMENT PVT LTD,0,6,1,0,1,113,102,218,281,293,"1,007"
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,0,15,13,275,319,265,98,20,977
L&T CONSTRUCTION MACHINERY LIMITED,0,0,1,2,0,50,0,0,1,0,51
L & T JOHN DEERE LTD.,9,6,16,29,31,0,0,0,39,152,191
LUNA LTD,0,0,1,8,80,0,0,2,3,5,10
M2GO ELECTRIC VEHICLE PVT LTD,0,0,0,3,0,19,0,0,0,0,19
M2J E VAHAN PVT LTD,15,41,22,0,0,54,17,0,0,1,72
MAA ADISHAKTI ENGINEERING,0,0,35,23,0,9,54,30,0,0,93
MAA AGRO IND,31,27,30,14,6,0,0,0,3,12,15
MAA BHAGWATI AGRI ENG WORKS,0,0,3,0,0,0,0,0,0,2,2
MAA BHAGWATI ENTERPRISES,2,6,16,60,128,0,0,6,272,153,431
MAA BHAWANI ENGINEERING WORKS,"11,445","5,539","7,191","14,953","11,045",0,0,0,2,0,2
MAA DURGA ENGG WORKS,0,9,23,35,13,0,0,15,159,98,272
MAA ENGINEERING TRAILOR,53,61,69,116,64,201,585,"1,185",200,52,"2,223"
MAA LAXMI INDUSTRIES,1,0,0,0,0,0,0,6,36,21,63
"MAA MANGALA ENGG,CTC",0,0,14,0,16,2,21,57,53,42,175
"MAA MANGALA MOTORS & ENGG,RKL",433,904,338,125,45,9,19,22,19,21,90
MAA SANTOSHI ENGG  KALAHANDI,361,684,878,98,0,1,2,12,6,10,31
MAA SHAKTI ENGINEERING WORK,0,28,81,0,0,0,0,0,1,10,11
MAA SHAKTI EXIM PVT LTD,15,28,10,0,0,881,"1,988","2,034","1,197",984,"7,084"
MAA STEEL INDUSTRIES,0,2,6,43,126,0,0,0,3,5,8
MAA S W AND REPAIRING CENTRE,17,3,0,0,0,0,0,0,10,3,13
MAA TARA ENGINEERING WORKS,"1,152","5,612","2,373",25,0,0,0,0,2,15,17
MAA TARINI ENGINEERING,18,0,0,0,0,52,113,90,0,0,255
MAA VASHNAV AGRO,964,671,501,170,96,0,0,0,0,1,1
MAC AUTO INDIA,18,11,18,20,35,248,538,433,147,1,"1,367"
MACHINERY MANU CORPN,247,118,0,0,0,0,0,1,0,1,2
MACNEILL ENGG LTD,159,105,0,0,1,1,1,2,2,2,8
MACONS EQUIPMENTS PVT LTD,94,75,82,98,157,20,29,50,37,43,179
MAC TRAILORS ENG WORKS,6,18,0,0,0,0,0,0,3,3,6
MADAR WELDING WORKS,0,0,0,0,1,0,0,0,5,0,5
"MADHAB ENGI. WORKS,BARIPADA",0,0,0,0,1,7,18,9,12,11,57
MADHAV AGRO INDUSTRIES RAJKOT,9,60,124,37,18,0,0,0,1,33,34
MADHU AUTOMOBILES LTD,223,43,1,0,0,50,39,88,65,56,298
MADHUBAN INDUSTRIES,0,2,5,8,20,0,0,2,2,6,10
MADHURI TRACTORS,8,0,0,0,0,0,0,0,8,10,18
"MADHUSUDAN ENG.WORKS,NIMAPADA",44,87,98,102,28,0,0,1,0,2,3
MAERSK LINE,0,10,8,30,32,0,0,0,1,1,2
MAHABALI SHETI AUJARE,0,0,0,0,17,0,0,0,1,130,131
MAHABIR INDUSTRIES,3,0,0,0,0,123,113,1,11,94,342
MAHABOOB TRACTOR ENGG WORKS,1,0,0,0,0,0,0,11,22,24,57
MAHADEV ENGG WORKS,0,0,1,8,3,0,0,0,0,25,25
MAHADEV TRAILERS,36,54,55,44,49,0,0,5,13,30,48
MAHAKALI ENGINEERING WORKS,25,34,4,0,0,0,0,0,1,7,8
MAHAKALI INDUSTRIES,0,0,1,0,1,0,0,35,185,390,610
MAHALAKSHMI INDUSTRIES,0,0,0,8,14,1,0,8,59,108,176
MAHALAXMI ENGG WORK,9,27,29,28,61,0,0,0,8,35,43
MAHALAXMI ENGINEERING WORKS,4,0,0,0,0,31,37,38,0,4,110
MAHALINGA ENGG. INDUSTRIES  ,13,16,23,19,39,0,0,7,4,10,21
MAHAMAYA AGRO INDUSTRIES,2,5,5,8,16,0,0,45,65,81,191
MAHANTESH ENG WORK,0,0,9,6,11,0,0,0,23,25,48
MAHARASTRA SCOOTER LIMITED,31,92,114,71,54,0,2,1,1,0,4
MAHA SHIVA AUTOMOBILES,156,832,575,35,5,0,0,0,3,5,8
MAHASHIV AUTOMOBILE,16,0,0,0,0,0,0,0,1,15,16
MAHAVIR AGRO EQUIPMENTS,3,0,0,0,0,64,101,110,3,26,304
MAHAVIR AGRO INDUSTRIES,0,10,1,1,1,0,0,1,13,14,28
MAHAVIR ENGINEERING WORKS,10,0,0,0,0,0,0,2,0,0,2
MAHAVIR INDUSTRIES LTD,61,208,152,47,10,0,0,0,6,40,46
MAHAVIR TRACTOR AND IMPLEMENTS,0,0,0,2,0,508,679,725,535,757,"3,204"
MAHEBOOB AUTO ENGIN WORKS,0,0,0,3,3,0,0,18,4,9,31
MAHEBOOB KHAN ENGG WORKS,1,5,2,10,1,0,0,31,53,53,137
MAHENDRA INDUSTRIES,14,7,17,19,17,0,0,0,1,0,1
MAHI ENTERPRISES,0,2,10,10,10,24,91,111,1,1,228
MAHIMA ENGINEERING,4,6,0,0,0,0,0,0,1,6,7
MAHINDRA & ASSOCIATES AUTOMOTIVE PVT LTD,107,665,21,0,0,0,1,0,0,0,1
MAHINDRA DEFENCE SYSTEMS LTD,14,15,2,6,4,2,1,18,0,2,23
MAHINDRA ELECTRIC MOBILITY LIMITED,865,"1,633","1,176",333,28,"3,255","1,903",506,568,329,"6,561"
MAHINDRA GUJARAT TRACTOR LIMITED,0,2,1,2,3,60,151,780,"1,331","1,261","3,583"
MAHINDRA & MAHINDRA LIMITED,573,"1,011",609,281,54,"3,78,433","5,37,713","5,78,510","6,19,676","6,32,727","27,47,059"
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,1,9,3,"1,02,223","84,333","78,373","29,838","9,247","3,04,014"
MAHINDRA & MAHINDRA LIMITED (TRACTOR),494,402,0,0,0,"1,45,376","1,27,557","1,18,286","41,174","3,880","4,36,273"
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,5,14,0,0,0,0,1,0,0,0,1
MAHINDRA NAVISTAR  AUTOMOTIVES LTD,84,840,"1,083",189,"3,531",1,6,40,195,512,754
MAHINDRA NISSAN ALLWYN LTD.,12,58,96,63,41,3,7,9,9,28,56
MAHINDRA RENAULT PVT.LTD.,1,9,0,0,0,0,0,5,41,41,87
MAHINDRA TWO WHEELERS LTD,0,0,0,0,2,292,783,"4,487","26,240","80,818","1,12,620"
MAHINDRA VEHICLE MANUFACTURER LIMITED,"20,164","40,671","52,944","78,862","94,123",17,184,753,583,407,"1,944"
MAILARALINGESHWAR  AGRICULTURE,152,234,237,119,106,0,0,51,59,49,159
MAIT S.P.A,0,1,0,0,0,1,0,1,4,0,6
MAJESTIC AUTO LTD,"6,598","9,955","6,977","14,912","4,705",2,2,12,60,208,284
MAKAR JYOTHI  AGRO INDUSTRIES,46,248,822,"1,565",408,0,0,10,5,13,28
MALHOTRA ENGINEERING WORKS,2,1,0,0,0,0,0,1,1,5,7
MALHOTRA  VEHICLE MANUFACTURING PVT LTD,244,346,496,200,18,0,6,47,35,0,88
MALI ENTERPRISES PVT LTD,"1,615",677,0,0,0,103,499,107,0,0,709
MALIK ENGINEERING WORKS,52,0,0,0,0,15,7,2,2,2,28
MALIK REHAN INDUSTRIES,108,17,0,0,0,0,0,1,0,0,1
MALKIT AGRO INDUSTRIES,"7,114","2,515",92,0,0,43,48,11,190,152,444
MALKIT AGRO TECH PVT. LTD,18,0,0,0,0,350,223,106,19,11,709
MALLESHA ENGINEERING,22,25,31,32,4,0,0,0,1,11,12
MALLIKARJUNA AGRO ENGG WORKS,0,2,2,14,31,0,0,19,39,58,116
MALTESH ENG WORKS,0,5,0,0,0,0,0,1,2,8,11
MALTESH  INDUSTRIES,0,2,0,0,0,0,0,7,4,7,18
MAMATHA ENGG.WORKS,1,1,0,30,11,0,0,2,1,5,8
MAMTA AGRO INDUSTRIES,0,0,1,9,20,0,0,0,1,14,15
MANAK AGRO TECH PVT. LTD,0,0,0,3,1,0,0,0,1,9,10
MANASHA TRAILOR WORKS,1,0,0,0,0,0,0,0,0,1,1
MANDAL ENGINEERING WORKS,0,0,0,13,21,0,0,0,0,7,7
MANDEEP COMBINE,11,102,4,0,0,0,0,0,4,0,4
MANDEEP ENGINEERING WORKS,99,288,338,136,43,0,0,0,2,4,6
MANGALA IMPLEMENTS,152,0,0,0,0,0,0,7,2,6,15
MANGALAM AGENCY,0,3,4,19,22,0,0,0,0,1,1
MANIAR AND COMPANY,37,26,18,3,0,0,0,0,1,1,2
MANIAR ENGIN PVT LTD,27,28,22,9,2,0,0,0,0,2,2
MANIAR TRAILER,1,3,8,4,8,0,0,0,2,1,3
MANICAM TRAILERS,4,0,0,0,2,0,0,0,4,7,11
MANI ENGENEERING INDUSTRIES,0,0,0,1,0,0,0,4,5,11,20
MANIKANTA ENGINEERING WORKS AP117794381,13,331,68,143,60,0,0,1,0,0,1
MANIRAM ELECTRIC VEHICLE PVT LTD,12,7,1,0,0,19,52,17,0,0,88
MANISH ENGINEERING WORKS,"5,52,734","8,16,816","7,85,319","6,44,498","5,03,516",0,0,0,1,52,53
MANISH STEEL INDUSTRIES,0,1,18,2,11,0,0,31,38,51,120
MANITA CITY MOTORS LLP,505,589,0,0,0,163,167,8,0,0,338
MANITOU EQUIPMENT INDIA PVT LTD,158,185,32,0,0,507,615,646,66,1,"1,835"
MANITOWOC INDIA LIMITED,31,0,0,0,0,2,9,68,15,1,95
MANI TRAILERS,0,0,2,1,0,0,0,2,1,0,3
MANIYAR AGRO INDUSTRIES.,0,0,1,1,11,0,0,0,0,3,3
MANIYAR & COMPANY,14,0,0,1,0,1,4,1,6,12,24
MANJEET ENGINEERING WORKS,0,0,0,3,0,2,2,5,3,17,29
MANJIT AGRO WORKS,0,7,0,0,0,0,2,0,1,1,4
MANJU TRAILERS,41,18,0,0,0,0,0,0,3,5,8
MANKU AGRO TECH PVT LTD,0,0,1,0,0,894,692,360,26,5,"1,977"
MANKU AGRO TECH. PVT. LTD.,17,17,24,32,31,191,190,74,164,260,879
MANMOHAN KAUR,683,800,628,518,415,25,54,0,0,0,79
MANNENSMANN GERMANY,5,11,5,11,26,1,0,0,0,0,1
MANOJ AGRO EQUIPMENTS,14,4,18,78,135,0,0,0,0,1,1
MANOJ ENGINEERING WORKS,"15,220","28,291","29,336","19,560","7,170",10,7,3,33,74,127
MANPREET AGRO INDUSTIRES NABHA,0,0,0,0,2,0,1,3,2,3,9
MANPREET AGRO INDUSTRIES,2,1,0,0,0,2,9,5,0,0,16
MAN TRUCKS INDIA PVT. LTD.,166,231,167,115,235,6,101,"1,388","1,447","1,182","4,124"
MARATHWADA KRUSHI UDYOG,1,0,0,0,0,7,9,16,0,0,32
MARATHWADA QUALITY TRAILER,0,17,10,16,0,47,9,12,6,30,104
MARINE NAVAIDS & SOLAR AUTO PVT LTD,4,5,8,12,60,4,0,0,0,0,4
MARSHAL TRACTOR & FARM EQUIPMENTS,0,0,0,0,3,2,8,22,2,0,34
MARSMAN IND LTD,10,63,19,11,27,1,0,0,0,2,3
MARTHWADA TRALIOR,0,0,1,2,0,58,45,35,3,16,157
MARUTHISAN PVT LTD,"7,424","10,100","5,788","1,133",0,0,0,0,1,1,2
MARUTI AGRO INDUSTRIES,0,31,31,23,124,0,0,8,8,17,33
MARUTI AGRO PRODUCTS,1,5,11,0,0,0,0,0,0,12,12
MARUTI ENGINEERING WORKS,7,0,0,0,0,0,0,0,8,10,18
MARUTI INDUSTRIES,1,0,0,0,0,11,30,51,81,86,259
MARUTI IRON WORKS,0,0,6,26,9,0,0,0,13,13,26
MARUTI MECHANICAL WORKS,7,0,0,0,0,0,0,0,15,22,37
MARUTI SUZUKI INDIA LTD,2,19,63,56,90,"12,37,690","14,88,928","15,96,836","15,03,799","13,13,067","71,40,320"
MARUTI TRAILERS,0,1,0,0,0,0,10,177,64,115,366
MARUTI UDYOG LTD,4,5,0,0,0,693,"1,170",565,617,"1,089","4,134"
MARUTI WELDING WORKS,1,0,0,0,0,0,0,0,1,0,1
MASERATI,15,0,0,0,0,2,3,0,15,11,31
MASERATI S.P.A,454,128,0,0,0,1,0,0,3,2,6
MASSEY FERGUSON LTD,40,36,0,0,0,764,619,534,752,821,"3,490"
MATA SHRI ENGG.,1,0,3,2,9,0,0,0,26,131,157
MATESHWARI AGRO INDUSTRIES,10,37,40,6,15,0,0,0,0,13,13
MATHAROO AGRICULTURE IMPLIMENT,2,6,0,0,0,0,0,1,18,10,29
MATHAROO BROTHERS AGRO TECH PVT LTD,42,26,36,142,7,6,0,0,0,2,8
MATHARU AGRO TECH,10,0,0,0,0,2,2,0,0,1,5
MATHARU ENGINEERING AGRI WORKS,2,0,0,0,0,0,0,1,0,0,1
MATHARU ENGINEERING WORKS,0,0,0,0,1,23,60,30,21,13,147
MATHURA AGRO TECH.,1,7,22,0,0,0,0,1,10,18,29
"MATRUSHAKTI ENGINEERING,KHURDA",0,0,10,12,92,0,0,0,0,1,1
MAULI AGRO INDUSTRIES,1,8,8,12,24,0,0,0,0,2,2
MAULI ENGINEERING WORKS,44,113,175,241,6,0,0,0,0,3,3
MAULI TRAILORS,379,316,4,17,31,0,0,0,0,2,2
MAUNGIRI FEBRICATION WORKS,0,0,0,1,10,0,0,0,0,7,7
MAXMECH EQUIPMENTS PVT LTD,0,0,0,0,1,0,0,0,0,1,1
MAYA AUTOMOBILES PVT LTD,0,0,0,0,1,0,0,0,0,4,4
MAYUR AGRO INDUSTRIES,0,1,5,13,19,0,0,0,0,18,18
"MAYUR ENTERPRISES,BARIPADA",1,0,0,0,0,63,130,224,230,217,864
MAZDA MOTOR CORPORATION,0,20,18,25,76,0,0,3,3,2,8
M B AUTOMOBILES PVT LTD,15,10,0,0,0,0,0,0,0,1,1
MBS AGRICULTURAL INDUSTRIES,5,0,0,0,0,0,1,30,64,136,231
M.C. FARM & ENGINEERING EQUIPMENTS,1,0,0,0,0,0,0,2,1,1,4
MDB AGRICULTURE,378,637,974,"1,493","2,210",0,0,0,3,22,25
MD.GHOUSE GENERAL ENG.WORKS,3,25,5,0,2,0,0,2,1,4,7
MD RASUL ENGG WORKS,335,597,677,353,37,2,0,21,64,37,124
MEERA AUTO IND,0,0,1,0,4,0,0,0,5,112,117
MEERA MARKETING CO,29,1,0,0,0,0,0,0,0,97,97
MEET TRAILOR,0,0,0,4,0,0,0,0,0,4,4
MEGHA AGRO INDUSTRIES,40,97,126,189,49,0,0,0,0,1,1
MEGHA STEEL INDUSTRIES,0,1,1,2,1,0,0,6,6,13,25
MEGHA TRAILERS,0,0,0,0,1,0,0,270,264,260,794
MEGHRAJ ENGINEERING WORKS,7,2,0,9,45,0,0,0,0,3,3
MEHAR AGRO ENGINEERING,0,0,0,10,3,8,1,5,1,0,15
MEHBOOB GENERAL ENGINEERING WORKS,15,18,4,7,1,0,0,32,43,64,139
MEHER FABRIC WORKS,0,0,0,0,1,39,54,63,43,65,264
MEHER TRAILERS PVT LTD,23,0,0,0,0,25,1,0,0,0,26
MENZI MUCK,77,0,0,0,0,0,0,0,0,1,1
MERCEDES -BENZ AG,88,97,95,107,171,180,5,2,4,6,197
MERCEDES-BENZ INDIA PVT LTD,2,0,0,0,0,"7,835","12,327","13,695","13,955","11,745","59,557"
MERCYDAZ INSTRUMENTATION INC,337,458,382,256,164,0,0,0,0,1,1
METAL  WORKS,0,0,2,1,1,0,0,1,3,2,6
METSO INDIA PVT LTD,5,5,5,32,18,0,6,0,0,0,6
MEW ELECTRICALS LIMITED,0,0,0,0,2,57,0,0,0,0,57
M.F.T.P.LTD,1,0,0,0,0,0,0,0,0,3,3
M G B AUTOMOTIVES (P) LTD,5,1,2,5,14,0,0,0,0,1,1
MG CAR COMPANY LIMITED,78,31,0,1,0,2,2,3,0,0,7
MG ENGLAND,2,2,0,0,0,0,0,0,1,0,1
M G INDUSTRIES,2,0,0,0,0,41,66,11,0,0,118
MGM ENGG WORKS,2,36,29,26,48,0,0,47,77,163,287
M.G.M. TRACTORS AND TRAILERS,25,7,0,0,0,0,0,16,62,81,159
M.G.P ENGINEERING WORKS,"1,668",510,204,0,0,0,0,0,4,19,23
M H AGRICULTURE WORKS,0,0,2,5,0,4,0,0,0,0,4
MICRO AUTOTECH,0,0,4,1,4,0,0,1,0,0,1
"MILAN AGROENG WORKS,DUNGRIPALI",0,0,0,1,0,3,5,5,7,3,23
MINI METRO,0,0,0,5,3,101,88,153,"1,710",681,"2,733"
